date,contents
2023.10.20,「後期就活ガイダンス」をオンラインで実施しました
2023.10.18,「いけばな」から日本の心を学ぶ －古流かたばみ会家元一級教授 角田友仙 氏をお迎えした講義を開催
2023.10.17,ウクライナの声を届ける―野中教養学部長の講演会に本学協定校の教員・学生が参加
2023.10.16,新型コロナウイルス感染症の発生に関する情報
2023.10.12,2023年度ホームカミングデーのご案内
2023.10.12,埼玉大学・戸田市連携講座を開催しました
2023.10.12,令和5年度埼玉大学研究機構戦略研究センター第1回公開シンポジウムを開催しました
2023.10.11,埼玉大学創基150周年記念ウェブサイト
2023.10.11,留学生が自国の文化を発表―「Introduction to Japanese Culture」より
2023.10.06,「報道機関と埼玉大学との懇談会2023」を開催
2023.10.20,「後期就活ガイダンス」をオンラインで実施しました
2023.10.18,「いけばな」から日本の心を学ぶ －古流かたばみ会家元一級教授 角田友仙 氏をお迎えした講義を開催
2023.10.17,ウクライナの声を届ける―野中教養学部長の講演会に本学協定校の教員・学生が参加
2023.10.16,新型コロナウイルス感染症の発生に関する情報
2023.10.12,2023年度ホームカミングデーのご案内
2023.10.12,埼玉大学・戸田市連携講座を開催しました
2023.10.12,令和5年度埼玉大学研究機構戦略研究センター第1回公開シンポジウムを開催しました
2023.10.11,埼玉大学創基150周年記念ウェブサイト
2023.10.11,留学生が自国の文化を発表―「Introduction to Japanese Culture」より
2023.10.06,「報道機関と埼玉大学との懇談会2023」を開催
2023.07.31,第28回埼玉大学経済学部市民講座開催のご案内
2023.07.20,令和5年度埼玉大学免許法認定公開講座(養護教諭免許状)のご案内
2023.07.04,埼玉大学連続市民講座 part 14 「明るい未来への展望－跳躍へのヒント－」開催のご案内
2023.06.23,2023年度埼玉大学経済経営系大学院コミュニティ・カレッジ「現代社会を見る眼－経済・経営研究の最前線－」開催のご案内
2022.11.05,埼玉大学連続市民講座 part13 「危機の時代Ⅱ ーしなやかな社会を目指してー」開催のご案内
2022.10.21,ミュージアム・カレッジ2022開催のご案内
2022.10.20,「教師のためのアサーション・トレーニング入門(実習編)」開催のお知らせ
2022.08.27,【8月27日(土)】連続市民講座 part13(第4回)の対面開催中止について(オンライン配信のご案内)
2022.08.02,2022年度埼玉大学経済経営系大学院コミュニティ・カレッジ「現代社会を見る眼－経済・経営研究の最前線－」開催のご案内
2022.08.01,第27回埼玉大学経済学部市民講座開催のご案内
2023.07.31,第28回埼玉大学経済学部市民講座開催のご案内
2023.07.20,令和5年度埼玉大学免許法認定公開講座(養護教諭免許状)のご案内
2023.07.04,埼玉大学連続市民講座 part 14 「明るい未来への展望－跳躍へのヒント－」開催のご案内
2023.06.23,2023年度埼玉大学経済経営系大学院コミュニティ・カレッジ「現代社会を見る眼－経済・経営研究の最前線－」開催のご案内
2022.11.05,埼玉大学連続市民講座 part13 「危機の時代Ⅱ ーしなやかな社会を目指してー」開催のご案内
2022.10.21,ミュージアム・カレッジ2022開催のご案内
2022.10.20,「教師のためのアサーション・トレーニング入門(実習編)」開催のお知らせ
2022.08.27,【8月27日(土)】連続市民講座 part13(第4回)の対面開催中止について(オンライン配信のご案内)
2022.08.02,2022年度埼玉大学経済経営系大学院コミュニティ・カレッジ「現代社会を見る眼－経済・経営研究の最前線－」開催のご案内
2022.08.01,第27回埼玉大学経済学部市民講座開催のご案内
